Plate,Well,Ligand,Concentration (ng/ml),Timepoint (h)
10,E10,control,0,8
11,C04,EGF,10,24
11,C05,HGF,40,24
11,C06,OSM,10,24
11,C07,IFNg,20,24
11,C08,BMP2,20,24
11,C09,TGFb,10,24
11,C10,control,0,24
11,D04,EGF,10,24
11,D05,HGF,40,24
11,D06,OSM,10,24
11,D07,IFNg,20,24
11,D08,BMP2,20,24
11,D09,TGFb,10,24
11,D10,control,0,24
11,E04,EGF,10,24
11,E05,HGF,40,24
11,E06,OSM,10,24
11,E07,IFNg,20,24
11,E08,BMP2,20,24
11,E09,TGFb,10,24
11,E10,control,0,24
12,C04,EGF,10,48
12,C05,HGF,40,48
12,C06,OSM,10,48
12,C07,IFNg,20,48
12,C08,BMP2,20,48
12,C09,TGFb,10,48
12,C10,control,0,48
12,D04,EGF,10,48
12,D05,HGF,40,48
12,D06,OSM,10,48
12,D07,IFNg,20,48
12,D08,BMP2,20,48
12,D09,TGFb,10,48
12,D10,control,0,48
12,E04,EGF,10,48
12,E05,HGF,40,48
12,E06,OSM,10,48
12,E07,IFNg,20,48
12,E08,BMP2,20,48
12,E09,TGFb,10,48
12,E10,control,0,48
13,C04,t0_ctrl,t0_ctrl,0
13,C05,t0_ctrl,t0_ctrl,0
13,C06,t0_ctrl,t0_ctrl,0
13,C07,t0_ctrl,t0_ctrl,0
13,C08,t0_ctrl,t0_ctrl,0
13,C09,t0_ctrl,t0_ctrl,0
13,C10,t0_ctrl,t0_ctrl,0
13,D04,t0_ctrl,t0_ctrl,0
13,D05,t0_ctrl,t0_ctrl,0
13,D06,t0_ctrl,t0_ctrl,0
13,D07,t0_ctrl,t0_ctrl,0
13,D08,t0_ctrl,t0_ctrl,0
13,D09,t0_ctrl,t0_ctrl,0
13,D10,t0_ctrl,t0_ctrl,0
13,E04,t0_ctrl,t0_ctrl,0
13,E05,t0_ctrl,t0_ctrl,0
13,E06,t0_ctrl,t0_ctrl,0
13,E07,t0_ctrl,t0_ctrl,0
13,E08,t0_ctrl,t0_ctrl,0
13,E09,t0_ctrl,t0_ctrl,0
13,E10,t0_ctrl,t0_ctrl,0
14,C04,EGF,10,1
14,C05,HGF,40,1
14,C06,OSM,10,1
14,C07,IFNg,20,1
14,C08,BMP2,20,1
14,C09,TGFb,10,1
14,C10,control,0,1
14,D04,EGF,10,1
14,D05,HGF,40,1
14,D06,OSM,10,1
14,D07,IFNg,20,1
14,D08,BMP2,20,1
14,D09,TGFb,10,1
14,D10,control,0,1
14,E04,EGF,10,1
14,E05,HGF,40,1
14,E06,OSM,10,1
14,E07,IFNg,20,1
14,E08,BMP2,20,1
14,E09,TGFb,10,1
14,E10,control,0,1
15,C04,EGF,10,4
15,C05,HGF,40,4
15,C06,OSM,10,4
15,C07,IFNg,20,4
15,C08,BMP2,20,4
15,C09,TGFb,10,4
15,C10,control,0,4
15,D04,EGF,10,4
15,D05,HGF,40,4
15,D06,OSM,10,4
15,D07,IFNg,20,4
15,D08,BMP2,20,4
15,D09,TGFb,10,4
15,D10,control,0,4
15,E04,EGF,10,4
15,E05,HGF,40,4
15,E06,OSM,10,4
15,E07,IFNg,20,4
15,E08,BMP2,20,4
15,E09,TGFb,10,4
15,E10,control,0,4
16,C04,EGF,10,8
16,C05,HGF,40,8
16,C06,OSM,10,8
16,C07,IFNg,20,8
16,C08,BMP2,20,8
16,C09,TGFb,10,8
16,C10,control,0,8
16,D04,EGF,10,8
16,D05,HGF,40,8
16,D06,OSM,10,8
16,D07,IFNg,20,8
16,D08,BMP2,20,8
16,D09,TGFb,10,8
16,D10,control,0,8
16,E04,EGF,10,8
16,E05,HGF,40,8
16,E06,OSM,10,8
16,E07,IFNg,20,8
16,E08,BMP2,20,8
16,E09,TGFb,10,8
16,E10,control,0,8
17,C04,EGF,10,24
17,C05,HGF,40,24
17,C06,OSM,10,24
17,C07,IFNg,20,24
17,C08,BMP2,20,24
17,C09,TGFb,10,24
17,C10,control,0,24
17,D04,EGF,10,24
17,D05,HGF,40,24
17,D06,OSM,10,24
17,D07,IFNg,20,24
17,D08,BMP2,20,24
17,D09,TGFb,10,24
17,D10,control,0,24
17,E04,EGF,10,24
17,E05,HGF,40,24
17,E06,OSM,10,24
17,E07,IFNg,20,24
17,E08,BMP2,20,24
17,E09,TGFb,10,24
17,E10,control,0,24
18,C04,EGF,10,48
18,C05,HGF,40,48
18,C06,OSM,10,48
18,C07,IFNg,20,48
18,C08,BMP2,20,48
18,C09,TGFb,10,48
18,C10,control,0,48
18,D04,EGF,10,48
18,D05,HGF,40,48
18,D06,OSM,10,48
18,D07,IFNg,20,48
18,D08,BMP2,20,48
18,D09,TGFb,10,48
18,D10,control,0,48
18,E04,EGF,10,48
18,E05,HGF,40,48
18,E06,OSM,10,48
18,E07,IFNg,20,48
18,E08,BMP2,20,48
18,E09,TGFb,10,48
18,E10,control,0,48
